month,date,stock,status,return,EP_TTM,BP_TTM,SP_TTM,CFP_TTM,EBITDA/EV,ROIC,ROE增长率_同比,EPS增长率_同比,ROA增长率_同比,净利润增长率_同比,营业收入增长率_TTM,基本每股收益,销售毛利率,营业成本比例,(扣非)ROE_TTM,ROA_TTM,经营活动产生的现金流量净额To营业收入,存货周转率,总市值,流通市值,资产负债率,return_1m,wgt_return_6m,turn_3m,std_turn_3m,std_turn_6m,std_3m,std_6m,std_12m,资金流出,20日成交金额移动平均
1,2008/1/31,000748.SZ,1,1.44174699,-0.410140281,-0.715251091,-0.913562779,-0.657397661,-1.455638386,-1.115680955,1.755307724,1.591967252,1.498898874,1.405707421,-0.767367789,-0.09808254,0.024951606,-0.024951606,-0.796175303,0.097834673,-0.787115158,-0.738511613,0.47772834,1.018257226,-0.805120821,0.817076483,-0.786613482,-0.991441012,-0.806552509,-0.959714382,-0.549373123,-0.955880033,-0.227060807,0.008894927,0.114279135
1,2008/1/31,000916.SZ,1,-0.598864896,1.52171095,1.524274879,-0.954100527,0.357211985,1.977878101,0.852386452,-0.162545969,-0.035232744,0.012101678,-0.149901037,-0.400968455,0.119469655,2.70211648,-2.70211648,0.346782408,1.382738924,1.999911406,2.230951873,1.278910257,0.50453662,-2.678238364,0.198752782,0.001103212,-0.175035039,0.903652961,-0.236917401,-0.301193227,-1.572404727,-0.597458017,-0.342929295,0.316130956
1,2008/1/31,600410.SH,1,-1.430250103,0.425068651,-0.761882626,-0.438596457,-0.471241563,-0.309340212,1.682862444,-0.543981073,-0.674260068,-0.239077584,-0.073905747,0.611018287,1.038848602,-0.087471318,0.087471318,1.130685905,1.353442484,-0.474753267,-0.807493243,1.239429512,0.086207424,-0.186113692,0.133601391,-0.584859787,0.152743166,0.409974242,-0.530825323,-1.188347088,-1.527622029,-1.306491799,-0.014808621,0.373257843
1,2008/1/31,600171.SH,1,0.185838447,-0.728032536,0.887171032,-0.844244175,-0.429776256,-1.070963738,-0.820522855,-0.391825369,-0.453088814,-0.243461624,-0.549372791,0.566494811,-0.82356107,-0.193206927,0.193206927,-0.580691762,-0.630448753,-0.285297997,-0.446230795,0.309888982,0.847607921,-2.191276384,0.863992672,-0.160595196,-0.298174863,0.064060613,-0.064258606,0.326539752,0.876140038,-0.15671373,2.281842644,1.401066297
1,2008/1/31,600618.SH,1,0.765707292,-1.783813252,0.62269119,0.480014543,0.714355779,-0.141411178,-0.933103982,1.204380678,1.001088228,-1.659053061,0.838153975,-0.135169916,-1.279661263,-0.851225697,0.851225697,-2.17917205,-1.37016887,0.064081739,0.863310914,1.307227825,-0.406621325,0.495014048,0.482564932,-0.265036425,-0.613673475,0.925252769,-0.32170458,0.602853654,0.194299594,0.300232976,-0.826260485,-0.631697803
1,2008/1/31,002093.SZ,1,-0.947322807,-0.535506617,-1.561173122,-1.132498704,-0.534392358,-1.075517403,1.029795724,0.17705086,-0.560814615,0.052848382,0.21479891,0.468385109,0.589757097,1.775762182,-1.775762182,0.899100794,2.044109537,-0.328052056,0.068696594,0.702033649,-0.715277946,-1.282792125,1.263728353,0.487523394,0.152954975,0.551307864,2.275557895,0.043226028,1.197183334,0.71666475,0.243398439,-0.250265883
1,2008/1/31,600651.SH,1,0.427351293,-0.569716059,-0.902848928,-0.52100234,-0.009244421,-0.940466204,-0.234953814,0.219911326,0.029533076,0.771088311,0.055168519,-0.41471447,-0.675070578,-0.334393283,0.334393283,-0.865438697,-0.316568435,0.079423003,-0.280896154,0.612580075,1.719638802,-0.143516551,-1.040728753,-0.12525021,0.007007567,-0.640112189,-0.556987388,0.306433417,0.073047295,-0.099589807,1.280144874,1.965989333
1,2008/1/31,601007.SH,1,0.077448842,0.051157381,0.317178159,-0.86210052,-0.16089539,-0.408439857,0.628297904,-0.869110787,-0.144338018,-0.689995769,-0.254206032,-0.044430441,-0.324985177,2.062463767,-2.062463767,-0.03256043,0.610688557,0.305846497,0.533026088,-0.688214872,-1.418568173,-1.966058119,-0.328340847,-0.79777152,-0.053844333,-0.018871239,0.154304018,0.062123868,-0.835160468,3.150638662,-0.864711422,-0.97112823
1,2008/1/31,600981.SH,1,-0.087856252,-0.254013818,-0.818823621,1.680559596,-1.188635975,-0.656402609,0.175772273,-0.13288259,-0.994730262,-0.278098184,-0.230367433,0.720633114,-0.539641445,-1.14440601,1.14440601,0.08776645,-0.274518752,-0.767596301,-0.034601363,0.243873488,0.124246729,0.995914898,-1.579002896,0.529522611,2.802909451,1.924205326,1.142040517,2.990149617,2.173044579,3.150638662,2.19259886,0.794931379
1,2008/1/31,600160.SH,1,-0.263189283,0.259320857,0.104494008,0.914649769,1.286061197,1.413478415,-0.200394844,-0.590645745,-0.556174315,-0.326313895,-0.647922864,0.691772428,0.00091278,-0.59271039,0.59271039,-0.062878973,-0.069107912,0.16557865,1.982499533,0.993886364,0.877071832,0.219291209,0.782167,0.647989485,0.554098771,0.159645824,-0.095542781,2.654380132,1.493367828,0.689658131,0.770697728,0.921153487
1,2008/1/31,600498.SH,1,-0.732967356,0.022635008,1.210073924,-0.10817124,0.629488625,-0.026710455,-0.552470758,1.665479584,1.521245639,1.459167724,1.338097329,-0.022223195,-0.057202076,0.40942931,-0.40942931,-0.258660617,-0.440366383,0.327584547,-0.93278386,0.632300393,0.171010303,-0.246704474,-0.779380491,0.506660519,2.093831228,0.852782333,-0.238769673,0.090457631,-0.339259051,-0.964869431,0.035420955,0.194354275
1,2008/1/31,000952.SZ,1,-0.865897103,0.361458132,-1.078057851,-0.890551166,0.609828605,-0.712640559,2.122418649,1.978758855,1.935631283,1.910439808,1.931182317,1.337498608,0.738709268,2.030327007,-2.030327007,1.74485478,2.468345095,2.152973241,0.18614949,0.353364673,1.211019219,-0.984887642,-1.968345338,-1.880820483,1.046904203,0.581067001,-0.476764127,-0.214466397,-0.234431851,1.159724112,0.301014928,2.491976951
1,2008/1/31,002140.SZ,1,0.664620576,-0.342766559,-1.14715749,-0.830649898,-0.01141715,-1.125410229,2.495732492,-0.361598765,-0.012698287,1.910439808,-0.128358023,1.525441045,2.47797513,0.059697598,-0.059697598,0.372398378,0.623375643,0.540883502,-0.062654983,0.331595911,-1.17095599,0.283642476,-1.248648537,-0.764421806,-1.355253023,-1.165581337,-0.925319023,-0.246224945,0.045092157,-0.112974151,-0.735813656,-1.261683658
1,2008/1/31,002051.SZ,1,-0.447694851,1.090216231,-0.08269174,0.00977695,2.555107447,0.160730662,-2.871545214,0.200696905,0.243136751,0.261292557,0.1162211,2.266155597,1.608297488,-0.663931402,0.663931402,0.872332016,0.818466238,2.31731114,-0.386465695,-0.191229145,-1.229808825,0.265857709,-1.053969636,-1.07364979,-0.514348219,-0.702753181,-0.72918801,-0.775582017,-0.552540912,-0.327913667,-1.028065692,-1.053143948
1,2008/1/31,000962.SZ,1,-2.585848993,-0.644675647,-0.697254295,-0.897461995,0.150107832,-0.731982115,-0.124201708,0.132704096,0.067608961,0.098661444,-0.051584035,-0.075612838,-0.435957138,-0.062412311,0.062412311,-0.225141995,-0.097922335,1.121726578,-0.842339104,1.031608644,0.972524299,-1.428013433,2.865417274,2.761645229,2.802909451,2.518339988,1.74801067,3.189270556,2.679611948,1.61315845,-0.850473802,2.532202458
1,2008/1/31,002137.SZ,1,-0.435370168,0.169111756,-0.71569156,-0.238443943,-0.943010404,-0.887987622,0.633671181,-0.361598765,0.054896619,1.910439808,-0.063737075,2.266155597,0.72039364,-0.884331905,0.884331905,0.579080681,1.313187644,-0.898248471,0.127502152,-0.663989434,-2.119036472,-0.401693923,-1.516212281,-1.799674582,-0.283960296,-0.901858144,-0.800752662,-0.528970445,-0.05274245,-0.605380513,-0.964726249,-1.216711354
1,2008/1/31,600819.SH,1,0.256247086,-0.308646267,-0.059009347,-0.517560126,-0.083728876,-0.043446165,-0.691869421,1.978758855,1.935631283,-2.130435683,1.931182317,-0.439177425,-0.4642366,-0.347733489,0.347733489,-0.481266902,-0.460183507,-0.010612614,-0.612255167,1.354651888,-2.002855217,-0.123002484,0.345038328,-0.570667956,0.527017327,0.539650152,0.241472694,0.576906602,0.813079662,2.31566763,-0.518390484,-0.959836408
1,2008/1/31,601008.SH,1,-0.281407343,0.265082002,0.44571677,-0.756022367,-0.307763804,-0.382800784,0.048921659,-0.361598765,-0.434662314,1.910439808,-0.531756997,2.266155597,-0.097644646,1.183439501,-1.183439501,0.050112471,0.430581375,-0.12805016,2.230951873,0.349424794,-0.605306428,-1.285736816,-0.295466492,-0.855622734,-0.121778189,0.377047634,-0.263248701,0.174809898,-1.039373293,-1.804489296,-0.648124023,-0.818148797
1,2008/1/31,002129.SZ,1,-0.08653917,-0.138751299,-0.507406854,-0.898457179,0.180948095,-0.321568711,0.303377018,-0.361598765,-0.251056633,1.910439808,-0.356229372,0.01288532,-0.134175863,0.762377537,-0.762377537,0.197931171,0.737660961,1.199035644,-0.682345512,0.516210446,-0.815079471,-1.653446977,-1.112239856,0.049304078,1.525499565,0.269239679,0.399675062,-1.189882984,-0.887795833,-2.773156052,-0.568769953,-0.584003255
1,2008/1/31,002084.SZ,1,-0.43579017,1.017359187,-0.351367297,0.54473307,-0.357936201,-0.062680156,1.055893556,-1.099269685,-0.634929855,-0.765661902,-0.723213414,-0.193647514,1.104335308,-0.361010732,0.361010732,1.164450991,0.91080958,-0.479160797,-0.309586193,-0.696552405,-2.137278072,0.048969233,-1.496405226,-1.622858507,0.196385661,-0.264418741,-0.933092828,-0.428177313,-0.992231979,-1.560365416,-0.876279808,-1.049851234
1,2008/1/31,002135.SZ,1,-0.166223516,0.578436682,0.650468408,0.687967677,-2.650327523,0.139148297,0.379997881,-0.361598765,-0.728005812,1.910439808,-0.81219433,-0.28131353,0.351211009,-0.431791075,0.431791075,0.137425548,-0.177687438,-1.77985243,-0.428221363,-0.869310642,-2.316913301,0.798260126,-0.96464703,-1.350095157,-0.162697362,-0.285143596,-0.698021343,-0.336286896,-0.788853935,0.896163234,-1.043954959,-1.273916177
1,2008/1/31,600776.SH,1,-0.048180282,-0.417000855,0.166951682,2.475770181,-0.475979969,-0.162546746,-0.39374514,1.978758855,1.935631283,1.910439808,1.931182317,-1.035307596,-0.744128451,-1.548059488,1.548059488,-0.449790704,-0.500878113,-0.56961737,2.230951873,1.318527533,0.106299682,-0.54492466,-0.037771619,-0.63968564,-0.303296094,0.120566849,-0.697092143,-0.915604353,-1.211323339,-0.257887437,-0.177809663,-0.177730949
1,2008/1/31,002133.SZ,1,0.77333726,-0.302350165,-0.593257755,-0.920834841,0.430969538,-0.441369435,0.124132446,-0.361598765,-0.710149528,1.910439808,-0.795123665,0.087190564,0.123796289,1.071470324,-1.071470324,-0.042665686,-0.455010306,1.940181311,-1.144021078,0.628247351,-0.874065631,1.211325859,1.224713293,-0.59600046,0.41925986,-0.525834299,-0.553484797,-0.272228714,-0.767680103,-2.151049812,-0.768195273,-0.902209076
